symbol,negative_total_20251031,negative_far_from_zero_share_20251031,negative_mid_range_share_20251031,negative_near_zero_share_20251031,negative_total_20251103,negative_far_from_zero_share_20251103,negative_mid_range_share_20251103,negative_near_zero_share_20251103,positive_total_20251031,positive_near_zero_share_20251031,positive_mid_range_share_20251031,positive_far_from_zero_share_20251031,positive_total_20251103,positive_near_zero_share_20251103,positive_mid_range_share_20251103,positive_far_from_zero_share_20251103,mode_position_sec_20251031,mode_position_sec_20251103,round_lot_20251031,round_lot_20251103,treated_to40,treated_to10,group_label,group_order,actual_transition,y_pre,y_post,delta_y,outcome,display_name,side,family,transform
KOF,2.239477377761133,0.7651869158878505,0.2044392523364486,0.030373831775700934,3.4066600470481614,0.6408450704225352,0.323943661971831,0.03521126760563379,5.488812545026702,0.017635843660629164,0.217349857006673,0.7650142993326978,12.451102566323911,0.012202954399486186,0.15221579961464354,0.8355812459858702,9.30899986997e-05,8.12709986348e-05,100.0,100.0,0,0,stay100,0,100->100,0.2044392523364486,0.323943661971831,0.11950440963538239,negative_mid_range_share,Negative mid-range share,negative,share,signed
KOLD,0.45269288544818065,0.733461785484907,0.21194605009633913,0.0545921644187539,0.34415402798948447,0.6762874929258632,0.23372948500282956,0.08998302207130732,0.6123129202015856,0.02706552706552702,0.21035137701804366,0.7625830959164293,1.036454816041903,0.022643991355820715,0.1741050455698581,0.8032509630743212,1.424996298737824e-06,-9.00599843589589e-06,100.0,100.0,0,0,stay100,0,100->100,0.21194605009633913,0.23372948500282956,0.02178343490649043,negative_mid_range_share,Negative mid-range share,negative,share,signed
KOP,8.642016470509786,0.6,0.35,0.05,4.553261921863777,0.7407407407407407,0.22222222222222218,0.03703703703703703,17.572100156703232,0.0,0.13114754098360656,0.8688524590163935,7.420130539333561,0.04545454545454545,0.20454545454545456,0.7500000000000001,-1.54340013978e-05,9.29460002225e-05,100.0,100.0,0,0,stay100,0,100->100,0.35,0.22222222222222218,-0.1277777777777778,negative_mid_range_share,Negative mid-range share,negative,share,signed
KOPN,2.4681296779394164,0.6752873563218391,0.27298850574712646,0.05172413793103448,2.483702930518355,0.648528099910794,0.27386262265834077,0.07760927743086526,8.141991006535777,0.019744483159117303,0.23432055749128916,0.7459349593495934,9.285636915077989,0.016463851109520398,0.24886661894535914,0.7346695299451205,7.25989957572e-05,5.70959964534e-05,100.0,100.0,0,0,stay100,0,100->100,0.27298850574712646,0.27386262265834077,0.0008741169112143066,negative_mid_range_share,Negative mid-range share,negative,share,signed
KOS,2.815269122372463,0.6666666666666666,0.29437229437229445,0.03896103896103896,3.032092844308813,0.5916754478398314,0.327713382507903,0.08061116965226554,11.326075487986188,0.017934002869440455,0.1441893830703013,0.8378766140602583,9.38862468177181,0.01837672281776416,0.21677726731325506,0.7648460098689807,0.0002715559967327,5.41679983143e-05,100.0,100.0,0,0,stay100,0,100->100,0.29437229437229445,0.327713382507903,0.03334108813560854,negative_mid_range_share,Negative mid-range share,negative,share,signed
KR,0.6863964067806666,0.6423331964086616,0.2846663928173229,0.0730004107740155,0.9851112231029729,0.6202926361237708,0.3036699448308947,0.07603741904533454,1.5348356951104574,0.03348641910510426,0.24301272798845297,0.7235008529064428,2.3204107006167414,0.029090291921249123,0.25573659198913784,0.7151731160896131,6.08170012128e-05,6.08439950156e-05,100.0,100.0,0,0,stay100,0,100->100,0.2846663928173229,0.3036699448308947,0.01900355201357179,negative_mid_range_share,Negative mid-range share,negative,share,signed
KRC,3.3475328612633604,0.5792452830188679,0.30566037735849055,0.11509433962264148,3.808447919792421,0.6496106785317018,0.271412680756396,0.0789766407119021,9.499414006302064,0.04188829787234043,0.27526595744680854,0.682845744680851,6.909431098088363,0.02942979767014102,0.25321888412017163,0.7173513182096873,2.077998942695558e-06,-7.802002073731273e-06,100.0,100.0,0,0,stay100,0,100->100,0.30566037735849055,0.271412680756396,-0.034247696602094535,negative_mid_range_share,Negative mid-range share,negative,share,signed
KRE,0.1529648320055477,0.6344115434589349,0.30267386993093065,0.06291458661013448,0.19686149667324437,0.6857532379004775,0.2556237218813905,0.05862304021813219,0.3945306437749601,0.02126418496128957,0.24785237034680246,0.730883444691908,0.5644335805690187,0.01937650450236254,0.2186097655205207,0.7620137299771167,6.83269972796e-05,6.65189945721e-05,100.0,100.0,0,0,stay100,0,100->100,0.30267386993093065,0.2556237218813905,-0.047050148049540164,negative_mid_range_share,Negative mid-range share,negative,share,signed
KREF,6.366644783558193,0.49431818181818177,0.38636363636363635,0.11931818181818181,3.3615141955835957,0.5426195426195426,0.3617463617463617,0.09563409563409565,21.86725438443709,0.022332506203473945,0.31844499586435066,0.6592224979321754,10.077553991749575,0.028432732316227463,0.3183079056865465,0.6532593619972261,6.65120023768e-05,6.56390038784e-05,100.0,100.0,0,0,stay100,0,100->100,0.38636363636363635,0.3617463617463617,-0.024617274617274643,negative_mid_range_share,Negative mid-range share,negative,share,signed
KRG,3.9091114825272477,0.5003170577045022,0.39568801521876984,0.10399492707672797,5.299939752248582,0.5325743200506009,0.366223908918406,0.10120177103099305,11.938034812841614,0.03841362126245847,0.29132059800664456,0.670265780730897,12.77885536721796,0.035676810073452254,0.2956453305351522,0.6686778593913956,7.07200015312e-05,5.16820000484e-05,100.0,100.0,0,0,stay100,0,100->100,0.39568801521876984,0.366223908918406,-0.029464106300363835,negative_mid_range_share,Negative mid-range share,negative,share,signed
