symbol,negative_total_20251031,negative_far_from_zero_share_20251031,negative_mid_range_share_20251031,negative_near_zero_share_20251031,negative_total_20251103,negative_far_from_zero_share_20251103,negative_mid_range_share_20251103,negative_near_zero_share_20251103,positive_total_20251031,positive_near_zero_share_20251031,positive_mid_range_share_20251031,positive_far_from_zero_share_20251031,positive_total_20251103,positive_near_zero_share_20251103,positive_mid_range_share_20251103,positive_far_from_zero_share_20251103,mode_position_sec_20251031,mode_position_sec_20251103,round_lot_20251031,round_lot_20251103,treated_to40,treated_to10,group_label,group_order,actual_transition,y_pre,y_post,delta_y,outcome,display_name,side,family,transform
FSTR,17.26242371403662,0.7636363636363638,0.21818181818181817,0.018181818181818177,10.836120401337793,0.7999999999999999,0.17142857142857146,0.028571428571428567,19.45945945945946,0.0,0.14516129032258063,0.8548387096774194,31.373148590539895,0.006578947368421053,0.10197368421052631,0.8914473684210525,0.000148328996147,0.0001295219990424,100.0,100.0,0,0,stay100,0,100->100,19.45945945945946,31.373148590539895,0.4588839911986833,positive_total,Positive total,positive,sum,log1p
FSUN,6.932149697251899,0.7886944818304173,0.19380888290713325,0.017496635262449527,13.660035923943827,0.8202764976958524,0.17204301075268813,0.007680491551459286,12.427487747967065,0.005255255255255254,0.11861861861861862,0.8761261261261261,23.291305492438777,0.016216216216216217,0.12972972972972974,0.8540540540540541,0.0001364909985568,0.0001163349952548,100.0,100.0,0,0,stay100,0,100->100,12.427487747967065,23.291305492438777,0.5928145573173893,positive_total,Positive total,positive,sum,log1p
FSV,2.2511959883696124,0.7754749568221072,0.20552677029360966,0.018998272884283234,2.9087987894016596,0.7495183044315992,0.22928709055876687,0.021194605009633886,4.154409177155321,0.013102480112306957,0.10949929808142256,0.8773982218062704,6.4677337244113975,0.005199306759098779,0.11005199306759099,0.8847487001733103,0.0001442939974367,0.0001459660052205,100.0,100.0,0,0,stay100,0,100->100,4.154409177155321,6.4677337244113975,0.37073907021021957,positive_total,Positive total,positive,sum,log1p
FTAI,3.811360834451141,0.7558139534883721,0.21746226030191756,0.026723786209710314,3.3804708961658343,0.749610119563334,0.22561081268411023,0.024779067752555877,8.053851734733199,0.010812376309311193,0.11082685717043975,0.8783607665202491,7.791308852868093,0.011051800616494994,0.10893917750545072,0.8800090218780543,0.0002201690003857,0.0001596990041434,100.0,100.0,0,0,stay100,0,100->100,8.053851734733199,7.791308852868093,-0.029426670115089593,positive_total,Positive total,positive,sum,log1p
FTCS,0.16195260008777249,0.7586776859504137,0.21652892561983458,0.024793388429751807,0.1397234848030364,0.6814516129032264,0.3024193548387095,0.01612903225806408,0.5131622055673721,0.005216484089723468,0.047470005216484014,0.9473135106937924,0.6315726873556611,0.005352363960749259,0.058876003568242644,0.9357716324710081,0.0001372620026813,0.0001243769947905,100.0,100.0,0,0,stay100,0,100->100,0.5131622055673721,0.6315726873556611,0.07534275155977216,positive_total,Positive total,positive,sum,log1p
FTDR,6.393520997975312,0.7484554280670787,0.23036187113857018,0.021182700794351278,4.743071995543796,0.7419260129183793,0.23546682325308285,0.02260716382853786,11.658441643263012,0.012826718296224586,0.11374636979670863,0.8734269119070668,8.288539200668431,0.014280913978494616,0.1352486559139785,0.850470430107527,0.000137478004035,0.0001513870010967,100.0,100.0,0,0,stay100,0,100->100,11.658441643263012,8.288539200668431,-0.3095430200055027,positive_total,Positive total,positive,sum,log1p
FTEK,16.50452868165045,0.6829268292682926,0.28048780487804886,0.03658536585365854,5.8496016400316835,0.8387096774193548,0.13978494623655913,0.02150537634408601,52.13015766521302,0.007722007722007722,0.08494208494208492,0.9073359073359073,25.222475888738757,0.0049875311720698244,0.0773067331670823,0.9177057356608479,0.0001383089984301,0.0001421599954483,100.0,100.0,0,0,stay100,0,100->100,52.13015766521302,25.222475888738757,-0.7061278066292371,positive_total,Positive total,positive,sum,log1p
FTGC,1.3319539635329107,0.6699029126213593,0.2912621359223301,0.03883495145631068,1.7768069605481065,0.7228915662650602,0.25301204819277107,0.024096385542168638,2.288891762575973,0.02824858757062147,0.12994350282485875,0.8418079096045198,3.2110969166532044,0.02666666666666666,0.12,0.8533333333333334,0.0001258640040759,0.0001278049967368,100.0,100.0,0,0,stay100,0,100->100,2.288891762575973,3.2110969166532044,0.24717250628126086,positive_total,Positive total,positive,sum,log1p
FTNT,0.6176842737322105,0.7658599945310364,0.21212742685261143,0.022012578616352047,0.8017892918762505,0.7861434645960437,0.1913477537437604,0.022508781660195896,1.5832276565022902,0.009521523443750993,0.0891342614818371,0.9013442150744119,1.7758988003925718,0.009765869537999234,0.09692834188890277,0.8933057885730981,0.0001425119990017,0.0001419049949618,100.0,100.0,0,0,stay100,0,100->100,1.5832276565022902,1.7758988003925718,0.0719349400900342,positive_total,Positive total,positive,sum,log1p
FTRE,6.795421561738651,0.7444916892153073,0.22844994201778115,0.02705836876691147,4.613215587160149,0.7395498392282958,0.23472668810289388,0.025723472668810286,13.091759205143191,0.013844301765650074,0.11958266452648475,0.8665730337078651,10.803725678397562,0.013043478260869565,0.10732265446224258,0.8796338672768879,0.0001392749982187,0.0001490280046709,100.0,100.0,0,0,stay100,0,100->100,13.091759205143191,10.803725678397562,-0.1771749558935456,positive_total,Positive total,positive,sum,log1p
