symbol,negative_total_20251031,negative_far_from_zero_share_20251031,negative_mid_range_share_20251031,negative_near_zero_share_20251031,negative_total_20251103,negative_far_from_zero_share_20251103,negative_mid_range_share_20251103,negative_near_zero_share_20251103,positive_total_20251031,positive_near_zero_share_20251031,positive_mid_range_share_20251031,positive_far_from_zero_share_20251031,positive_total_20251103,positive_near_zero_share_20251103,positive_mid_range_share_20251103,positive_far_from_zero_share_20251103,mode_position_sec_20251031,mode_position_sec_20251103,mean_close_202509,n_close_obs_202509,round_lot_20251031,round_lot_20251103,y_pre,y_post,delta_y,display_name,side,family,transform,running,D_rule,expected_post_round_lot,rule_consistent,D_actual
KKR,1.1767968405868476,0.6355371900826446,0.3068181818181819,0.0576446280991735,0.9830820118370298,0.6337859424920129,0.3063099041533546,0.05990415335463252,1.9988526500959658,0.0283420508453959,0.21737014961683498,0.7542877995377691,2.2617953155723356,0.022739107793785795,0.1909390730775907,0.7863218191286235,1.5379991964437068e-06,-1.3700046110898256e-06,140.38571428571427,21.0,100.0,100.0,1.9988526500959658,2.2617953155723356,0.08404798854415585,Positive total,positive,sum,log1p,-109.61428571428573,0,100.0,True,0
KLAR,5.078939172516231,0.6660377358490567,0.2547169811320754,0.0792452830188679,1.9506441618020485,0.6796769851951547,0.253028263795424,0.06729475100942127,11.844469466471814,0.029935275080906144,0.2006472491909385,0.7694174757281553,5.019692647867452,0.01830543933054392,0.24843096234309625,0.7332635983263598,-5.2390023483894765e-06,7.94189982116e-05,40.125625,16.0,100.0,100.0,11.844469466471814,5.019692647867452,-0.7578771241360256,Positive total,positive,sum,log1p,-209.874375,0,100.0,True,0
KLC,9.320628421203068,0.6225930680359434,0.3157894736842105,0.06161745827984595,4.774260508562532,0.5869565217391305,0.34472049689441003,0.06832298136645962,20.878686258022274,0.01891117478510029,0.2532951289398281,0.7277936962750716,15.345837348950996,0.02801932367149758,0.27342995169082124,0.6985507246376812,7.10739986971e-05,5.27370066265e-05,7.13952380952381,21.0,100.0,100.0,20.878686258022274,15.345837348950996,-0.29153966416546195,Positive total,positive,sum,log1p,-242.8604761904762,0,100.0,True,0
KMI,0.7069047753100494,0.5891798418972333,0.3420619235836628,0.06875823451910401,0.8677099063208916,0.6238879298897889,0.31078210065064393,0.06532996945956712,1.9677961074898074,0.02333974264162101,0.20860819405413394,0.768052063304245,2.205395739860336,0.023744840917402425,0.20884488793688932,0.7674102711457081,5.66539965802e-05,4.78509973618e-05,27.37809523809524,21.0,100.0,100.0,1.9677961074898074,2.205395739860336,0.07701593251758809,Positive total,positive,sum,log1p,-222.62190476190477,0,100.0,True,0
KMPR,3.88158979182221,0.5809352517985611,0.3309352517985612,0.08812949640287769,2.523390119769603,0.5869565217391305,0.2971014492753623,0.11594202898550723,9.878506394655446,0.032508833922261476,0.22402826855123678,0.7434628975265016,10.099655624295249,0.02715751357875679,0.20579360289680143,0.7670488835244418,-7.921000360511243e-06,6.42710001557e-05,52.74619047619048,21.0,100.0,100.0,9.878506394655446,10.099655624295249,0.020125130897686194,Positive total,positive,sum,log1p,-197.25380952380954,0,100.0,True,0
KMT,4.755488626456369,0.6233333333333334,0.2866666666666667,0.08999999999999998,4.336347646881162,0.5486725663716815,0.3761061946902655,0.0752212389380531,12.221605769992866,0.03631647211413749,0.25421530479896237,0.7094682230869002,11.74267592872244,0.01797385620915033,0.2630718954248366,0.7189542483660131,8.499773684889078e-08,6.63440005155e-05,21.093809523809526,21.0,100.0,100.0,12.221605769992866,11.74267592872244,-0.03689562266156976,Positive total,positive,sum,log1p,-228.9061904761905,0,100.0,True,0
KMX,1.0942295151143167,0.6178268586077696,0.288897653322816,0.09327548806941427,1.0171394354438448,0.5477980665950591,0.3326172574292875,0.11958467597565339,2.708708953506214,0.030351310443718624,0.19071138373297222,0.7789373058233092,3.0007980479975944,0.03131067961165047,0.22694174757281554,0.741747572815534,-6.998001481406391e-06,-1.3699973351322114e-06,56.960952380952385,21.0,100.0,100.0,2.708708953506214,3.0007980479975944,0.07581002813165649,Positive total,positive,sum,log1p,-193.0390476190476,0,100.0,True,0
KN,4.915782038144319,0.6083788706739528,0.2896174863387978,0.10200364298724957,3.6497604629903293,0.5220338983050846,0.37627118644067803,0.10169491525423728,12.079034552744421,0.0318754633061527,0.2935507783543366,0.6745737583395107,9.21719167772134,0.03624161073825503,0.34093959731543627,0.6228187919463086,6.20200007688e-05,5.08729935972e-05,22.29,21.0,100.0,100.0,12.079034552744421,9.21719167772134,-0.2469387722536327,Positive total,positive,sum,log1p,-227.71,0,100.0,True,0
KNF,3.6474607003513086,0.744340878828229,0.2063914780292943,0.0492676431424767,3.7545278918135714,0.7279305354558611,0.2337192474674385,0.03835021707670044,10.884100438731402,0.010709504685408293,0.17090584560464078,0.818384649709951,11.192948563148997,0.009951456310679604,0.12985436893203883,0.8601941747572815,0.0001008480030577,9.04240005183e-05,76.7647619047619,21.0,100.0,100.0,10.884100438731402,11.192948563148997,0.025656388855756163,Positive total,positive,sum,log1p,-173.23523809523812,0,100.0,True,0
KNOP,14.61654135338346,0.4444444444444444,0.4074074074074074,0.14814814814814814,4.744270634282627,0.58,0.3500000000000001,0.06999999999999999,17.86466165413534,0.0,0.4242424242424242,0.5757575757575758,9.962968331993515,0.042857142857142864,0.3761904761904762,0.580952380952381,4.93960033054e-05,7.12219989509e-05,8.767142857142856,21.0,100.0,100.0,17.86466165413534,9.962968331993515,-0.5427673400824053,Positive total,positive,sum,log1p,-241.23285714285714,0,100.0,True,0
KNSL,6.855851544336489,0.7464684014869889,0.21933085501858735,0.03420074349442378,5.717496184817553,0.6926272066458983,0.2575285565939772,0.049844236760124616,13.26823908543337,0.016903572800614674,0.16135228582404917,0.8217441413753361,10.746280471983148,0.016022099447513805,0.23756906077348067,0.7464088397790056,0.0001035069944919,9.55889991018e-05,433.6895238095238,21.0,100.0,40.0,13.26823908543337,10.746280471983148,-0.19449938921499577,Positive total,positive,sum,log1p,183.6895238095238,1,40.0,True,1
